COUNTRY,CUSTOMER_NBR,MATERIAL_NBR,MONTH_YEAR,QUANTITY,UNIT
IN42,1045,1-00S766-L84-220-120,2020-06,504.0,EA
IN42,1045,1-00S766-L84-220-120,2020-07,612.0,EA
IN42,1045,1-00S766-L84-220-120,2020-08,612.0,EA
IN42,1045,1-00S766-L84-220-120,2020-09,360.0,EA
IN42,1045,1-00S766-L84-220-120,2020-10,504.0,EA
IN42,1045,1-00S766-L84-220-120,2020-11,216.0,EA
IN42,1045,1-00S766-L84-220-120,2020-12,72.0,EA
IN42,1045,1-00S766-L84-220-120,2021-01,288.0,EA
IN42,1045,1-00S766-L84-220-120,2021-02,36.0,EA
IN42,1045,1-00S766-L84-220-120,2021-03,180.0,EA
IN42,1045,1-00S766-L84-220-120,2021-04,684.0,EA
IN42,1045,1-00S766-L84-220-120,2021-05,756.0,EA
IN42,1045,1-00S766-L84-220-120,2021-06,252.0,EA
IN42,1045,1-00S766-L84-220-120,2021-07,0.0,EA
IN42,1045,1-00S766-L84-220-120,2021-08,288.0,EA
IN42,1045,1-00S766-L84-220-120,2021-09,72.0,EA
IN42,1045,1-00S766-L84-220-120,2021-10,2.0,EA
IN42,1045,1-00S766-L84-220-120,2021-11,360.0,EA
IN42,1045,1-00S766-L84-220-120,2021-12,0.0,EA
IN42,1045,1-00S766-L84-220-120,2022-01,648.0,EA
IN42,1045,1-00S766-L84-220-120,2022-02,36.0,EA
IN42,1045,1-00S766-L84-220-120,2022-03,180.0,EA
IN42,1045,1-00S766-L84-220-120,2022-04,0.0,EA
IN42,1045,1-00S766-L84-240-140,2019-01,0.0,EA
IN42,1045,1-00S766-L84-240-140,2019-02,320.0,EA
IN42,1045,1-00S766-L84-240-140,2019-03,96.0,EA
IN42,1045,1-00S766-L84-240-140,2019-04,256.0,EA
IN42,1045,1-00S766-L84-240-140,2019-05,384.0,EA
IN42,1045,1-00S766-L84-240-140,2019-06,512.0,EA
IN42,1045,1-00S766-L84-240-140,2019-07,320.0,EA
IN42,1045,1-00S766-L84-240-140,2019-08,736.0,EA
IN42,1045,1-00S766-L84-240-140,2019-09,0.0,EA
IN42,1045,1-00S766-L84-240-140,2019-10,576.0,EA
IN42,1045,1-00S766-L84-240-140,2019-11,160.0,EA
IN42,1045,1-00S766-L84-240-140,2019-12,288.0,EA
IN42,1045,1-00S766-L84-240-140,2020-01,768.0,EA
IN42,1045,1-00S766-L84-240-140,2020-02,704.0,EA
IN42,1045,1-00S766-L84-240-140,2020-03,192.0,EA
IN42,1045,1-00S766-L84-240-140,2020-04,0.0,EA
IN42,1045,1-00S766-L84-240-140,2020-05,32.0,EA
IN42,1045,1-00S766-L84-240-140,2020-06,,EA
IN42,1045,1-00S766-L84-240-140,2020-07,192.0,EA
IN42,1045,1-00S766-L84-240-140,2020-08,64.0,EA
IN42,1045,1-00S766-L84-240-140,2020-09,160.0,EA
IN42,1045,1-00S766-L84-240-140,2020-10,544.0,EA
IN42,1045,1-00S766-L84-240-140,2020-11,32.0,EA
IN42,1045,1-00S766-L84-240-140,2020-12,1.0,EA
IN42,1045,1-00S766-L84-240-140,2021-01,96.0,EA
IN42,1045,1-00S766-L84-240-140,2021-02,0.0,EA
IN42,1045,1-00S766-L84-240-140,2021-03,32.0,EA
IN42,1045,1-00S766-L84-240-140,2021-04,256.0,EA
IN42,1045,1-00S766-L84-240-140,2021-05,0.0,EA
IN42,1045,1-00S766-L84-240-140,2021-06,32.0,EA
IN42,1045,1-00S766-L84-240-140,2021-07,0.0,EA
IN42,1045,1-00S766-L84-240-140,2021-08,736.0,EA
IN42,1045,1-00S766-L84-240-140,2021-09,36.0,EA
IN42,1045,1-00S766-L84-240-140,2021-10,0.0,EA
IN42,1045,1-00S766-L84-240-140,2021-11,160.0,EA
IN42,1045,1-00S766-L84-240-140,2021-12,288.0,EA
IN42,1045,1-00S766-L84-240-140,2022-01,0.0,EA
IN42,1045,1-00S766-L84-240-140,2022-02,480.0,EA
IN42,1045,1-00S766-L84-240-140,2022-03,96.0,EA
IN42,1045,1-00S766-L84-240-140,2022-04,0.0,EA
IN42,1045,1-00S766-L84-261-973,2019-05,9100.0,EA
IN42,1045,1-00S766-L84-261-973,2019-06,13200.0,EA
IN42,1045,1-00S766-L84-261-973,2019-07,14960.0,EA
IN42,1045,1-00S766-L84-261-973,2019-08,18340.0,EA
IN42,1045,1-00S766-L84-261-973,2019-09,8780.0,EA
IN42,1045,1-00S766-L84-261-973,2019-10,15460.0,EA
IN42,1045,1-00S766-L84-261-973,2019-11,8520.0,EA
IN42,1045,1-00S766-L84-261-973,2019-12,6520.0,EA
IN42,1045,1-00S766-L84-261-973,2020-01,4520.0,EA
IN42,1045,1-00S766-L84-261-973,2020-02,9740.0,EA
IN42,1045,1-00S766-L84-261-973,2020-03,3720.0,EA
IN42,1045,1-00S766-L84-261-973,2020-04,3260.0,EA
IN42,1045,1-00S766-L84-261-973,2020-05,8700.0,EA
IN42,1045,1-00S766-L84-261-973,2020-06,9820.0,EA
IN42,1045,1-00S766-L84-261-973,2020-07,16580.0,EA
IN42,1045,1-00S766-L84-261-973,2020-08,14980.0,EA
IN42,1045,1-00S766-L84-261-973,2020-09,11940.0,EA
IN42,1045,1-00S766-L84-261-973,2020-10,9078.0,EA
IN42,1045,1-00S766-L84-261-973,2020-11,7880.0,EA
IN42,1045,1-00S766-L84-261-973,2020-12,96.0,EA
IN42,1045,1-00S766-L84-261-973,2021-01,13120.0,EA
IN42,1045,1-00S766-L84-261-973,2021-02,9060.0,EA
IN42,1045,1-00S766-L84-261-973,2021-03,7560.0,EA
IN42,1045,1-00S766-L84-261-973,2021-04,11960.0,EA
IN42,1045,1-00S766-L84-261-973,2021-05,11920.0,EA
IN42,1045,1-00S766-L84-261-973,2021-06,8440.0,EA
IN42,1045,1-00S766-L84-261-973,2021-07,40.0,EA
IN42,1045,1-00S766-L84-261-973,2021-08,7460.0,EA
IN42,1045,1-00S766-L84-261-973,2021-09,1770.0,EA
IN42,1045,1-00S766-L84-261-973,2021-10,1.0,EA
IN42,1045,1-00S766-L84-261-973,2021-11,277.0,EA
IN42,1045,1-00S766-L84-261-973,2021-12,1928.0,EA
IN42,1045,1-00S766-L84-261-973,2022-01,3640.0,EA
IN42,1045,1-00S766-L84-261-973,2022-02,4770.0,EA
IN42,1045,1-00S766-L84-261-973,2022-03,7940.0,EA
IN42,1045,1-00S766-L84-261-973,2022-04,0.0,EA
IN42,1045,1-00S862-L84-140-140,2019-01,1440.0,EA
IN42,1045,1-00S862-L84-140-140,2019-02,720.0,EA
IN42,1045,1-00S862-L84-140-140,2019-03,504.0,EA
IN42,1045,1-00S862-L84-140-140,2019-04,792.0,EA
